dT,import_price,export_price,pv,pd
0.083,0,0,0,0.35
0.083,0,0,0,0.35
0.083,0,0,0,0.35
0.083,0,0,0,0.35
0.083,0,0,0,0.35
0.083,0,0,0,0.35
0.083,0,0,0,0.35
0.083,0,0,0,0.35
0.083,0,0,0,0.35
0.083,0,0,0,0.35
0.083,0,0,0,0.35
0.083,0,0,0,0.35
0.083,0,0,0,0.37
0.083,0,0,0,0.37
0.083,0,0,0,0.37
0.083,0,0,0,0.37
0.083,0,0,0,0.37
0.083,0,0,0,0.37
0.083,0,0,0,0.37
0.083,0,0,0,0.37
0.083,0,0,0,0.37
0.083,0,0,0,0.37
0.083,0,0,0,0.37
0.083,0,0,0,0.37
0.083,0,0,0,0.35
0.083,0,0,0,0.35
0.083,0,0,0,0.35
0.083,0,0,0,0.35
0.083,0,0,0,0.35
0.083,0,0,0,0.35
0.083,0,0,0,0.35
0.083,0,0,0,0.35
0.083,0,0,0,0.35
0.083,0,0,0,0.35
0.083,0,0,0,0.35
0.083,0,0,0,0.35
0.083,0,0,0,0.35
0.083,0,0,0,0.35
0.083,0,0,0,0.35
0.083,0,0,0,0.35
0.083,0,0,0,0.35
0.083,0,0,0,0.35
0.083,0,0,0,0.35
0.083,0,0,0,0.35
0.083,0,0,0,0.35
0.083,0,0,0,0.35
0.083,0,0,0,0.35
0.083,0,0,0,0.35
0.083,0,0,0,0.35
0.083,0,0,0,0.35
0.083,0,0,0,0.35
0.083,0,0,0,0.35
0.083,0,0,0,0.35
0.083,0,0,0,0.35
0.083,0,0,0,0.35
0.083,0,0,0,0.35
0.083,0,0,0,0.35
0.083,0,0,0,0.35
0.083,0,0,0,0.35
0.083,0,0,0,0.35
0.083,0,0,0.04,0.35
0.083,0,0,0.04,0.35
0.083,0,0,0.04,0.35
0.083,0,0,0.04,0.35
0.083,0,0,0.04,0.35
0.083,0,0,0.04,0.35
0.083,0,0,0.04,0.35
0.083,0,0,0.04,0.35
0.083,0,0,0.04,0.35
0.083,0,0,0.04,0.35
0.083,0,0,0.04,0.35
0.083,0,0,0.04,0.35
0.083,0,0,0.18,0.44
0.083,0,0,0.18,0.44
0.083,0,0,0.18,0.44
0.083,0,0,0.18,0.44
0.083,0,0,0.18,0.44
0.083,0,0,0.18,0.44
0.083,0,0,0.18,0.44
0.083,0,0,0.18,0.44
0.083,0,0,0.18,0.44
0.083,0,0,0.18,0.44
0.083,0,0,0.18,0.44
0.083,0,0,0.18,0.44
0.083,0,0,0.37,0.46
